Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_snc_lap_wdeg_cputime tb2_glb_snc_lap_wdeg_bestsol tb2_glb_snc_lap_wdeg_status tb2_glb_snc_lap_wdeg_bestbound tb2_glb_snc_lap_wdeg_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes CPLEX_cputime CPLEX_bestsol CPLEX_status CPLEX_bestbound CPLEX_nbnodes tb2_lap_cputime tb2_lap_bestsol tb2_lap_status tb2_lap_bestbound tb2_lap_nbnodes
nug12 12 12 79 12 0.724 578 OPT 578 11298 0.596 578 OPT 578 8874 0.629 578 OPT 578 9396 0.578 578 OPT 578 8349 0.615 578 OPT 578 8349 0.713 578 OPT 578 10018 1200 586.0 FEAS 528.0 790942 1200 578 FEAS 0 145406796 1200.0 620.0 FEAS 262.54063803 5578979 115.025 578 OPT 578 3130047
nug14 14 14 106 14 9.604 1014 OPT 1014 103792 9.31 1014 OPT 1014 103700 8.242 1014 OPT 1014 81128 6.203 1014 OPT 1014 63766 9.161 1014 OPT 1014 78892 9.356 1014 OPT 1014 88219 1200 1028.0 FEAS 72.0 630898 1200 1014 FEAS 0 121805458 1200.0 1070.0 FEAS 189.19401187 7914352 1200 1022 FEAS 406 21290676
nug15 15 15 121 15 27.031 1150 OPT 1150 243035 16.437 1150 OPT 1150 154731 32.48 1150 OPT 1150 282333 22.245 1150 OPT 1150 202159 29.925 1150 OPT 1150 210546 26.375 1150 OPT 1150 210086 1200 1186.0 FEAS 24.0 477854 1200 1150 FEAS 0 112043717 1200.0 1274.0 FEAS 174.4505535 5130161 1200 1168 FEAS 346 17577117
nug16a 16 16 137 16 217.846 1610 OPT 1610 1713932 127.995 1610 OPT 1610 1054287 314.853 1610 OPT 1610 2160571 203.39 1610 OPT 1610 1571705 270.624 1610 OPT 1610 1663457 343.138 1610 OPT 1610 2374559 1200 1652.0 FEAS 32.0 448364 1200 1610 FEAS 0 104624968 1200.0 1776.0 FEAS 52.769230769 2681518 1200 1622 FEAS 386 15745271
nug16b 16 16 137 16 153.3 1240 OPT 1240 1223499 106.726 1240 OPT 1240 881261 175.253 1240 OPT 1240 1220764 116.832 1240 OPT 1240 839864 138.282 1240 OPT 1240 820800 160.892 1240 OPT 1240 1164888 1200 1270.0 FEAS 56.0 397292 1200 1240 FEAS 0 108087205 1200.0 1382.0 FEAS 24.0 3720137 1200 1256 FEAS 278 16681709
nug17 17 17 154 17 1200 1732 FEAS 1644 7334822 528.647 1732 OPT 1732 3746109 1200 1732 FEAS 1553 6926192 1200 1732 FEAS 1570 7559483 1200 1734 FEAS 1547 5998944 1200 1732 FEAS 1583 6728719 1200 1772.0 FEAS 68.0 423166 1200 1732 FEAS 0 97051868 1200.0 1906.0 FEAS 130.4843262 2977361 1200 1768 FEAS 340 15123245
nug18 18 18 172 18 1200 1942 FEAS 1703 6770978 1200 1930 FEAS 1727 6803014 1200 1936 FEAS 1688 6250126 1200 1944 FEAS 1694 6598752 1200 1936 FEAS 1688 5104688 1200 1930 FEAS 1702 5985702 1200 1994.0 FEAS 68.0 384845 1200 1930 FEAS 0 94147368 1200.0 2114.0 FEAS 6.8403361345 2233085 1200 1990 FEAS 332 13572204
nug20 20 20 211 20 1200 2574 FEAS 2211 5136626 1200 2594 FEAS 2216 5712051 1200 2580 FEAS 2192 4928226 1200 2570 FEAS 2193 4975865 1200 2574 FEAS 2189 4110129 1200 2584 FEAS 2216 4701225 1200 2630.0 FEAS 36.0 372402 1200 2570 FEAS 0 85815993 1200.0 2956.0 FEAS 168.24895703 1766262 1200 2654 FEAS 312 11354968
nug21 21 21 232 21 1200 2448 FEAS 2030 4668771 1200 2438 FEAS 2033 4894667 1200 2438 FEAS 2014 3642153 1200 2450 FEAS 2020 3745150 1200 2456 FEAS 2015 3215330 1200 2446 FEAS 2029 3707703 1200 2542.0 FEAS 36.0 297189 1200 2438 FEAS 0 80763407 1200.0 2676.0 FEAS 0.0 1239737 1200 2510 FEAS 174 10095112
nug22 22 22 254 22 1200 3610 FEAS 2867 4119208 1200 3614 FEAS 2870 4665312 1200 3620 FEAS 2860 3012706 1200 3606 FEAS 2841 2909562 1200 3596 FEAS 2856 2434679 1200 3614 FEAS 2877 2848767 1200 3802.0 FEAS 0.0 258737 1200 3596 FEAS 0 77660284 1200.0 4076.0 FEAS 0.0 1184034 1200 3736 FEAS 238 7829394
nug24 24 24 301 24 1200 3548 FEAS 2861 3572866 1200 3524 FEAS 2854 3901000 1200 3496 FEAS 2832 2456902 1200 3518 FEAS 2847 2936216 1200 3542 FEAS 2823 2483292 1200 3530 FEAS 2870 2663995 1200 3596.0 FEAS 36.0 212276 1200 3488 FEAS 0 71471862 1200.0 4504.0 FEAS 0.0 625591 1200 3664 FEAS 180 8279388
nug25 25 25 326 25 1200 3824 FEAS 3041 3658286 1200 3770 FEAS 3031 3569439 1200 3754 FEAS 3040 2459740 1200 3768 FEAS 3047 2953648 1200 3782 FEAS 3031 2519959 1200 3756 FEAS 3051 2569614 1200 4022.0 FEAS 36.0 223062 1200 3744 FEAS 0 67499333 1200.0 4872.0 FEAS 0.0 463341 1200 3934 FEAS 150 7744697
nug27 27 27 379 27 1200 5320 FEAS 4040 2013788 1200 5338 FEAS 4020 2491276 1200 5324 FEAS 3946 2938118 1200 5350 FEAS 3946 3326715 1200 5330 FEAS 3918 2957470 1200 5386 FEAS 4039 3106467 1200 5484.0 FEAS 1782.0 612346 1200 5234 FEAS 0 95806423 1200.0 6952.0 FEAS 1819.0 429067 1200 5456 FEAS 1950 3283704
nug28 28 28 407 28 1200 5230 FEAS 4011 1844334 1200 5254 FEAS 3999 2272733 1200 5286 FEAS 3971 2783106 1200 5318 FEAS 3953 3306726 1200 5274 FEAS 3947 2601875 1200 5252 FEAS 4012 2796377 1200 5558.0 FEAS 1890.0 665914 1200 5172 FEAS 0 89481830 1200.0 6704.0 FEAS 1890.0 301581 1200 5340 FEAS 2032 2975042
nug30 30 30 466 30 1200 6348 FEAS 4735 2568702 1200 6266 FEAS 4706 2645159 1200 6278 FEAS 4717 1688548 1200 6312 FEAS 4697 2103470 1200 6322 FEAS 4693 1929221 1200 6240 FEAS 4744 1639305 1200 6716.0 FEAS 0.0 95581 1200 6136 FEAS 0 55022256 1200.0 8044.0 FEAS 0.0 303286 1200 6586 FEAS 136 5314366
rou12 12 12 79 12 0.599 235528 OPT 235528 4981 0.588 235528 OPT 235528 5028 0.465 235528 OPT 235528 3785 0.528 235528 OPT 235528 4820 0.555 235528 OPT 235528 4820 0.53 235528 OPT 235528 4251 1200 235528.0 FEAS 224304.0 1338993 1200 235528 FEAS 0 148446826 1200.0 240436.0 FEAS 167099.41676 7398203 64.079 235528 OPT 235528 1007622
rou15 15 15 121 15 29.552 354210 OPT 354210 156420 24.311 354210 OPT 354210 134117 20.829 354210 OPT 354210 100373 19.927 354210 OPT 354210 112308 25.495 354210 OPT 354210 117131 20.695 354210 OPT 354210 101461 1200 370118.0 FEAS 7420.0 457885 1200 354210 FEAS 0 120650098 1200.0 391686.0 FEAS 77759.900183 2069052 1200 364680 FEAS 163870 11253007
rou20 20 20 211 20 1200 732202 FEAS 649200 3321338 1200 730150 FEAS 648126 3500897 1200 726996 FEAS 642636 3120550 1200 728148 FEAS 644548 3459692 1200 728444 FEAS 639486 2707094 1200 725662 FEAS 646796 3135963 1200 771454.0 FEAS 9296.0 413947 1200 729564 FEAS 0 88206489 1200.0 808774.0 FEAS 89857.150288 1115733 1200 756972 FEAS 196850 6929104
scr12 12 12 79 12 0.096 31410 OPT 31410 847 0.087 31410 OPT 31410 717 0.546 31410 OPT 31410 8177 0.383 31410 OPT 31410 6046 0.419 31410 OPT 31410 6046 0.534 31410 OPT 31410 5832 36.9734 31410.0 OPT 31410.0 67541 1200 31410 FEAS 0 255324537 12.79 31410.0 OPT 31410.0 93959 0.114 31410 OPT 31410 1977
scr15 15 15 121 15 0.927 51140 OPT 51140 5066 0.205 51140 OPT 51140 645 9.367 51140 OPT 51140 84621 4.546 51140 OPT 51140 41542 9.54 51140 OPT 51140 73533 8.656 51140 OPT 51140 53589 1200 51140.0 FEAS 49586.0 898255 1200 51140 FEAS 0 209217991 176.67 51140.0 OPT 51140.0 1182648 0.773 51140 OPT 51140 6915
scr20 20 20 211 20 221.621 110030 OPT 110030 567092 59.397 110030 OPT 110030 153133 1200 110448 FEAS 92616 5262039 1200 110030 FEAS 93179 5346947 1200 110030 FEAS 92708 4141864 1200 110386 FEAS 94236 3639490 1200 111726.0 FEAS 81960.0 1654266 1200 110030 FEAS 0 194873444 1200.0 126332.0 FEAS 75420.0 1820557 337.812 110030 OPT 110030 1110070
sko100a 100 100 5051 100 1200 159786 FEAS 101701 5284 1200 159786 FEAS 101705 7786 1200 162890 FEAS 100695 7384 1200 162890 FEAS 100699 16230 1200 162890 FEAS 100695 12326 1200 161718 FEAS 101910 5728 1200 181846.0 FEAS 0.0 6465 1200 152872 FEAS 0 11312571 1200.0 ? UNK 0.0 19918 1200 162148 FEAS 0 39863
sko100b 100 100 5051 100 1200 160682 FEAS 101703 4748 1200 160682 FEAS 101703 7052 1200 165322 FEAS 101070 7533 1200 164840 FEAS 101070 19834 1200 164518 FEAS 101078 16214 1200 164518 FEAS 101974 5714 1200 182006.0 FEAS 0.0 18272 1200 154720 FEAS 0 10449280 1200.0 ? UNK 0.0 17269 1200 165006 FEAS 0 37802
sko100c 100 100 5051 100 1200 155712 FEAS 98601 5673 1200 155712 FEAS 98604 10351 1200 157738 FEAS 97946 7118 1200 157254 FEAS 97946 17589 1200 157766 FEAS 97946 14238 1200 157860 FEAS 98761 7089 1200 174872.0 FEAS 0.0 18413 1200 148464 FEAS 0 10099293 1200.0 ? UNK 0.0 19893 1200 155566 FEAS 0 44110
sko100d 100 100 5051 100 1200 156820 FEAS 98719 5695 1200 156820 FEAS 98720 8813 1200 160108 FEAS 98143 7336 1200 159898 FEAS 98143 16697 1200 160110 FEAS 98138 15731 1200 159056 FEAS 98933 6178 1200 177804.0 FEAS 0.0 16177 1200 150680 FEAS 0 11203088 1200.0 ? UNK 0.0 20105 1200 159132 FEAS 0 37609
sko100e 100 100 5051 100 1200 155514 FEAS 98305 5160 1200 155514 FEAS 98306 8018 1200 160364 FEAS 97195 7443 1200 160364 FEAS 97195 17512 1200 160364 FEAS 97195 15387 1200 159436 FEAS 98421 5731 1200 178622.0 FEAS 0.0 7374 1200 150386 FEAS 0 10988878 1200.0 ? UNK 0.0 16955 1200 159820 FEAS 0 40400
sko100f 100 100 5051 100 1200 154398 FEAS 98665 5166 1200 154398 FEAS 98667 7612 1200 158700 FEAS 97696 7365 1200 158700 FEAS 97696 19738 1200 158700 FEAS 97696 15407 1200 160280 FEAS 98797 6519 1200 172680.0 FEAS 0.0 17059 1200 150278 FEAS 0 10900124 1200.0 ? UNK 0.0 18701 1200 157740 FEAS 0 38482
sko42 42 42 904 42 1200 16506 FEAS 11657 1170599 1200 16298 FEAS 11640 1401685 1200 16542 FEAS 11583 1014519 1200 16600 FEAS 11589 1349253 1200 16556 FEAS 11576 1098071 1200 16176 FEAS 11658 829804 1200 17100.0 FEAS 0.0 116895 1200 15888 FEAS 0 34451879 1200.0 20306.0 FEAS 0.0 112950 1200 16958 FEAS 4 2786286
sko49 49 49 1226 49 1200 24222 FEAS 16654 915659 1200 24298 FEAS 16604 917742 1200 24448 FEAS 16556 681959 1200 24318 FEAS 16547 822880 1200 24658 FEAS 16558 814996 1200 24188 FEAS 16696 581023 1200 25978.0 FEAS 0.0 80531 1200 23482 FEAS 0 29015901 1200.0 28932.0 FEAS 0.0 96041 1200 25096 FEAS 0 1995900
sko56 56 56 1597 56 1200 36306 FEAS 23988 668845 1200 35978 FEAS 23933 713098 1200 36308 FEAS 23735 441958 1200 36354 FEAS 23723 569376 1200 36642 FEAS 23706 561389 1200 35628 FEAS 23950 330227 1200 38732.0 FEAS 0.0 59363 1200 34678 FEAS 0 25447795 1200.0 43442.0 FEAS 0.0 83502 1200 36364 FEAS 0 1060132
sko64 64 64 2081 64 1200 50694 FEAS 33299 354820 1200 50504 FEAS 33268 451817 1200 49842 FEAS 33007 207231 1200 51494 FEAS 33012 387927 1200 51654 FEAS 33027 397670 1200 50848 FEAS 33354 230490 1200 54792.0 FEAS 0.0 43962 1200 48888 FEAS 0 20986753 1200.0 ? UNK 0.0 58797 1200 51882 FEAS 0 750408
sko72 72 72 2629 72 1200 69542 FEAS 45301 199571 1200 69514 FEAS 45291 280343 1200 70290 FEAS 44899 145790 1200 70384 FEAS 44908 211500 1200 70518 FEAS 44904 186107 1200 69672 FEAS 45321 139623 1200 76572.0 FEAS 0.0 43648 1200 66798 FEAS 0 17599438 1200.0 ? UNK 0.0 44999 1200 69570 FEAS 0 357651
sko81 81 81 3322 81 1200 95604 FEAS 61892 84932 1200 95604 FEAS 61888 108338 1200 93816 FEAS 61506 70624 1200 96816 FEAS 61509 106343 1200 96458 FEAS 61514 108775 1200 97072 FEAS 62058 69180 1200 101966.0 FEAS 0.0 18759 1200 91600 FEAS 0 15310355 1200.0 ? UNK 0.0 26755 1200 97466 FEAS 0 175691
sko90 90 90 4096 90 1200 119220 FEAS 77434 35244 1200 122178 FEAS 77436 49261 1200 123364 FEAS 76837 33169 1200 123364 FEAS 76839 50260 1200 123364 FEAS 76845 48644 1200 120756 FEAS 77482 31884 1200 135934.0 FEAS 0.0 10235 1200 116302 FEAS 0 12989752 1200.0 ? UNK 0.0 21776 1200 121850 FEAS 0 99072
ste36a 36 36 667 36 1200 10096 FEAS 7442 1377227 1200 10310 FEAS 7433 1767367 1200 9608 FEAS 7779 546110 1200 9666 FEAS 7721 693139 1200 9678 FEAS 7685 667625 1200 9600 FEAS 7824 512593 1200 10398.0 FEAS 1056.0 245687 1200 9692 FEAS 0 47495599 1200.0 28034.0 FEAS 0.0 171630 1200 10524 FEAS 0 3378304
ste36b 36 36 667 36 1200 18360 FEAS 9609 1158045 1200 17848 FEAS 9631 1314731 1200 16150 FEAS 10467 382931 1200 16268 FEAS 10364 480726 1200 16352 FEAS 10376 471902 1200 16042 FEAS 10764 361800 1200 18804.0 FEAS 858.0 180317 1200 15852 FEAS 0 48099387 1200.0 141258.0 FEAS 0.0 167278 1200 19912 FEAS 0 1885011
ste36c 36 36 667 36 1200 8699854 FEAS 6702799 820076 1200 8693364 FEAS 6701554 954141 1200 8352922 FEAS 6928029 352611 1200 8353116 FEAS 6775638 504805 1200 8326336 FEAS 6777504 461373 1200 8429698 FEAS 6936129 333392 1200 9426316.0 FEAS 1100562.0 208649 1200 8292726 FEAS 0 47095906 1200.0 24157270.0 FEAS 0.0 175305 1200 8839286 FEAS 0 2891865
tai100a 100 100 5051 100 1200 22075120 FEAS 15931396 866 1200 22075120 FEAS 15931404 1192 1200 21996748 FEAS 15877339 1012 1200 21996748 FEAS 15877339 1347 1200 21996748 FEAS 15877358 1380 1200 22043640 FEAS 15917818 867 1200 ? UNK 0.0 0 1200 21635050 FEAS 0 15773670 1200.0 ? UNK 0.0 29901 1200 22902456 FEAS 265318 1701
tai100b 100 100 5051 100 1200 ? UNK 476971649 0 1200 ? UNK 487164946 0 1200 ? UNK 353521966 13 1200 1403276937 FEAS 353543964 197 1200 1403276937 FEAS 353521966 188 1200 ? UNK 357168377 0 1200 ? UNK 0.0 0 1200 1225241585 FEAS 0 11087776 1200.0 ? UNK 0.0 22064 1200 ? UNK 0 222
tai10a 10 10 56 10 0.081 135028 OPT 135028 431 0.085 135028 OPT 135028 496 0.047 135028 OPT 135028 398 0.043 135028 OPT 135028 356 0.045 135028 OPT 135028 356 0.084 135028 OPT 135028 651 124.983 135028.0 OPT 135028.0 108201 1200 135028 FEAS 0 178354686 286.24 135028.0 OPT 135028.0 1575564 0.986 135028 OPT 135028 20573
tai10b 10 10 56 10 0.079 1183760 OPT 1183760 652 0.079 1183760 OPT 1183760 664 0.028 1183760 OPT 1183760 158 0.028 1183760 OPT 1183760 197 0.029 1183760 OPT 1183760 197 0.091 1183760 OPT 1183760 160 72.0707 1183760.0 OPT 1183760.0 106560 1200 1183760 FEAS 0 180688288 248.95 1183760.0 OPT 1183760.0 1066029 2.697 1183760 OPT 1183760 92089
tai12a 12 12 79 12 0.112 224416 OPT 224416 236 0.107 224416 OPT 224416 227 0.234 224416 OPT 224416 1885 0.194 224416 OPT 224416 1653 0.206 224416 OPT 224416 1653 0.183 224416 OPT 224416 708 1200 237756.0 FEAS 222188.0 1322369 1200 224416 FEAS 0 150765436 1200.0 242158.0 FEAS 162652.95897 8655882 44.705 224416 OPT 224416 656534
tai12b 12 12 79 12 0.466 39464925 OPT 39464925 5169 0.451 39464925 OPT 39464925 4947 1.034 39464925 OPT 39464925 10121 0.45 39464925 OPT 39464925 3512 0.476 39464925 OPT 39464925 3512 3.568 39464925 OPT 39464925 9531 1200 39464925.0 FEAS 31695299.0 1314604 1200 39464925 FEAS 0 154938825 1200.0 42758472.0 FEAS 13092720.997 6657533 27.557 39464925 OPT 39464925 475870
tai15a 15 15 121 15 75.542 388214 OPT 388214 441674 63.279 388214 OPT 388214 386354 114.097 388214 OPT 388214 707629 93.373 388214 OPT 388214 607190 115.793 388214 OPT 388214 583484 99.726 388214 OPT 388214 577077 1200 391622.0 FEAS 8798.0 484091 1200 388214 FEAS 0 119875878 1200.0 412896.0 FEAS 149335.27417 3539109 1200 388214 FEAS 188944 12161098
tai15b 15 15 121 15 4.704 51765268 OPT 51765268 33197 2.63 51765268 OPT 51765268 17534 4.768 51765268 OPT 51765268 20977 2.794 51765268 OPT 51765268 11839 3.05 51765268 OPT 51765268 11034 1.508 51765268 OPT 51765268 7096 1200 28275622.0 FEAS 26344215.0 404896 1200 51765268 FEAS 0 116721020 1200.0 52127738.0 FEAS 49628642.251 5318682 1200 51765268 FEAS 50454321 14155585
tai17a 17 17 154 17 738.207 491812 OPT 491812 2734647 478.66 491812 OPT 491812 1840502 1200 491812 FEAS 458196 4513524 1034.788 491812 OPT 491812 4480247 1200 491812 FEAS 457466 3923738 1200 491812 FEAS 466135 4428831 1200 513094.0 FEAS 8798.0 405260 1200 491812 FEAS 0 104423620 1200.0 530894.0 FEAS 98723.717622 1290952 1200 498990 FEAS 173274 9403750
tai20a 20 20 211 20 1200 707466 FEAS 624006 2942614 1200 715750 FEAS 624257 3624832 1200 712618 FEAS 618364 3188574 1200 709444 FEAS 621900 3402500 1200 712134 FEAS 619298 2710414 1200 715084 FEAS 625787 3237977 1200 756672.0 FEAS 9114.0 389284 1200 706786 FEAS 0 86784278 1200.0 778234.0 FEAS 108645.62159 1435270 1200 738554 FEAS 193246 6491106
tai20b 20 20 211 20 97.811 122455319 OPT 122455319 269369 75.143 122455319 OPT 122455319 211069 344.62 122455319 OPT 122455319 113235 60.322 122455319 OPT 122455319 42620 360.766 122455319 OPT 122455319 69387 276.055 122455319 OPT 122455319 127187 1200 136276459.0 FEAS 16215709.0 286850 1200 122455319 FEAS 0 87410569 1200.0 180048714.0 FEAS 560.57142857 1835439 1200 124788035 FEAS 8539924 2068771
tai25a 25 25 326 25 1200 1207180 FEAS 1006347 2453786 1200 1191566 FEAS 1007864 2570363 1200 1192322 FEAS 996867 2463452 1200 1207288 FEAS 996741 2969586 1200 1200670 FEAS 997573 2332681 1200 1197924 FEAS 1004520 2426938 1200 1262868.0 FEAS 0.0 243149 1200 1189900 FEAS 0 72198131 1200.0 1352990.0 FEAS 136038.51434 557511 1200 1236186 FEAS 203092 4606158
tai25b 25 25 326 25 1200 345475021 FEAS 141778499 1874960 1200 345014201 FEAS 141037823 1577349 1200 346200484 FEAS 78998978 400344 1200 345631635 FEAS 79408681 329638 1200 345535452 FEAS 78320505 318122 1200 346292167 FEAS 92685111 403984 1200 369908857.0 FEAS 0.0 200760 1200 344594778 FEAS 0 69700411 1200.0 681272598.0 FEAS 3674.9451852 467364 1200 407040118 FEAS 1544472 813107
tai30a 30 30 466 30 1200 1876148 FEAS 1561316 1468269 1200 1867970 FEAS 1562492 1583761 1200 1872954 FEAS 1548055 1402284 1200 1886364 FEAS 1548419 1667171 1200 1877464 FEAS 1548625 1398742 1200 1880008 FEAS 1559282 1390907 1200 1963682.0 FEAS 2240.0 76465 1200 1837704 FEAS 0 57152605 1200.0 2149606.0 FEAS 132220.26809 222409 1200 1905374 FEAS 205576 2844341
tai30b 30 30 466 30 1200 651331917 FEAS 129948066 653304 1200 658815771 FEAS 129083716 863165 1200 643302713 FEAS 107996262 112516 1200 643176803 FEAS 106816626 142095 1200 653446260 FEAS 118296543 122398 1200 642264464 FEAS 129121724 175809 1200 836577218.0 FEAS 0.0 86643 1200 637833614 FEAS 0 53123151 1200.0 1122958743.0 FEAS 17262.333333 261217 1200 661098949 FEAS 29546 244590
tai35a 35 35 631 35 1200 2514506 FEAS 2009732 1197650 1200 2510612 FEAS 2009753 1308665 1200 2518438 FEAS 1999115 961355 1200 2514932 FEAS 1999302 1141773 1200 2498692 FEAS 1998278 1011462 1200 2520532 FEAS 2008335 1164522 1200 2694692.0 FEAS 0.0 55882 1200 2453846 FEAS 0 50706831 1200.0 2913492.0 FEAS 0.0 156636 1200 2580628 FEAS 232236 1967211
tai35b 35 35 631 35 1200 286427829 FEAS 95522828 1301460 1200 290976901 FEAS 96593085 738127 1200 295129900 FEAS 70017794 200639 1200 291188995 FEAS 70847284 285446 1200 303225091 FEAS 69596960 256407 1200 294102688 FEAS 76687245 185292 1200 337044693.0 FEAS 0.0 34500 1200 283723539 FEAS 0 47112047 1200.0 521121416.0 FEAS 0.0 144941 1200 307059048 FEAS 54 884309
tai40a 40 40 821 40 1200 3290626 FEAS 2561577 866288 1200 3259122 FEAS 2561640 869959 1200 3291076 FEAS 2547847 805884 1200 3280828 FEAS 2548788 876066 1200 3279278 FEAS 2546512 859025 1200 3276792 FEAS 2558730 795679 1200 3443004.0 FEAS 0.0 38239 1200 3219050 FEAS 0 42885612 1200.0 3822296.0 FEAS 0.0 118164 1200 3412976 FEAS 297200 1495624
tai40b 40 40 821 40 1200 678376610 FEAS 161641954 659474 1200 693779290 FEAS 161414561 697559 1200 704071175 FEAS 138589209 79296 1200 715460067 FEAS 138633551 112735 1200 698907838 FEAS 138305196 145524 1200 695902053 FEAS 144543322 91060 1200 835117176.0 FEAS 0.0 26137 1200 637751843 FEAS 0 40080313 1200.0 1145942464.0 FEAS 0.0 105363 1200 694371999 FEAS 0 268376
tai50a 50 50 1276 50 1200 5191894 FEAS 3924825 348201 1200 5187702 FEAS 3926040 424721 1200 5151498 FEAS 3902277 322906 1200 5208798 FEAS 3902801 473484 1200 5194010 FEAS 3900953 429611 1200 5186394 FEAS 3924700 346346 1200 5515856.0 FEAS 0.0 15051 1200 5088906 FEAS 0 33706819 1200.0 5955162.0 FEAS 0.0 91101 1200 5325314 FEAS 229042 440982
tai50b 50 50 1276 50 1200 499591411 FEAS 108336023 299435 1200 484568650 FEAS 108635009 420532 1200 491797832 FEAS 87196062 26197 1200 532136913 FEAS 87164863 34571 1200 519211334 FEAS 87065738 33136 1200 474497202 FEAS 95535834 19218 1200 699698876.0 FEAS 0.0 9097 1200 461288451 FEAS 0 31030509 1200.0 753079038.0 FEAS 0.0 98508 1200 484280425 FEAS 0 296527
tai60a 60 60 1831 60 1200 7548618 FEAS 5633086 82532 1200 7614602 FEAS 5632905 165525 1200 7616332 FEAS 5598890 85708 1200 7599174 FEAS 5599519 136542 1200 7617400 FEAS 5597548 161405 1200 7607802 FEAS 5638803 86686 1200 8388396.0 FEAS 0.0 4242 1200 7415496 FEAS 0 28287075 1200.0 8497450.0 FEAS 0.0 64398 1200 7781786 FEAS 170704 126919
tai60b 60 60 1831 60 1200 642460954 FEAS 198465176 36313 1200 682279127 FEAS 198771136 48067 1200 709246942 FEAS 152133930 9752 1200 738830715 FEAS 152213574 15417 1200 719436320 FEAS 152143854 11828 1200 725982439 FEAS 164867889 2146 1200 987304957.0 FEAS 0.0 25703 1200 609116260 FEAS 0 22810187 1200.0 993121674.0 FEAS 0.0 69247 1200 661833007 FEAS 0 53306
tai64c 64 2 2081 64 1200 1855928 FEAS 740697 1726486 1200 1855928 FEAS 725309 2313755 1200 1855928 FEAS 1269923 20228780 1200 1855928 FEAS 1280874 19737340 1200 1855928 FEAS 1280874 19737340 1200 1855928 FEAS 1270564 20335281 1200 1864686.0 FEAS 487500.0 2365345 1200 1855928 FEAS 0 164863766 1200.0 ? UNK 0.0 126495 1200 1855928 FEAS 574182 1248317
tai80a 80 80 3241 80 1200 14256948 FEAS 10414838 3195 1200 14256948 FEAS 10414981 4597 1200 14189996 FEAS 10368849 3231 1200 14189996 FEAS 10369692 4876 1200 14189996 FEAS 10369831 4520 1200 14149396 FEAS 10417029 3056 1200 ? UNK 0.0 22 1200 13849880 FEAS 0 21020430 1200.0 ? UNK 0.0 34045 1200 14961248 FEAS 252532 5147
tai80b 80 80 3241 80 1200 907842783 FEAS 288818619 858 1200 907842783 FEAS 288815165 1623 1200 985715367 FEAS 188996441 453 1200 976248816 FEAS 189000499 765 1200 976248816 FEAS 188996441 619 1200 ? UNK 198647720 0 1200 ? UNK 0.0 0 1200 835663324 FEAS 0 17047776 1200.0 ? UNK 0.0 36108 1200 970247434 FEAS 0 2594
tho30 30 30 466 30 1200 153426 FEAS 98166 1793078 1200 153622 FEAS 98163 1995250 1200 151966 FEAS 96186 1291770 1200 153724 FEAS 96270 1712586 1200 158280 FEAS 95960 1533537 1200 154408 FEAS 98490 1355244 1200 170736.0 FEAS 0.0 82345 1200 150866 FEAS 0 52824075 1200.0 209362.0 FEAS 0.0 326629 1200 157456 FEAS 2458 3784572
tho40 40 40 821 40 1200 251356 FEAS 151333 1053877 1200 252804 FEAS 151189 1126039 1200 250452 FEAS 148962 694994 1200 254402 FEAS 148547 1172615 1200 257324 FEAS 148557 1015130 1200 252702 FEAS 151234 670415 1200 272700.0 FEAS 0.0 44784 1200 244000 FEAS 0 39950536 1200.0 339914.0 FEAS 0.0 143989 1200 263342 FEAS 0 3427572
wil100 100 100 5051 100 1200 278620 FEAS 217192 4422 1200 278620 FEAS 217193 6315 1200 283006 FEAS 215836 5653 1200 282926 FEAS 215836 8807 1200 283006 FEAS 215836 7987 1200 283770 FEAS 217957 5218 1200 298728.0 FEAS 0.0 41826 1200 274360 FEAS 0 10496576 1200.0 ? UNK 0.0 12041 1200 286952 FEAS 0 8702
wil50 50 50 1276 50 1200 49586 FEAS 39782 745564 1200 49846 FEAS 39748 946753 1200 49692 FEAS 39544 489910 1200 49720 FEAS 39552 686231 1200 49908 FEAS 39512 645387 1200 49488 FEAS 39886 478080 1200 53562.0 FEAS 0.0 67871 1200 48988 FEAS 0 27491149 1200.0 55686.0 FEAS 0.0 48035 1200 51068 FEAS 72 1430741
